"gene","cope"
"TDRD15",NA
"TDRD5",NA
"TEDDM1",NA
"TERT",NA
"TESPA1",NA
"TEX11",NA
"TEX35",NA
"TEX37",NA
"TEX38",NA
"TEX43",NA
"TFAP2B",NA
"TFCP2L1",NA
"TFDP3",NA
"TFF3",NA
"THEM5",NA
"TIFAB",NA
"TKTL2",NA
"TLR2",NA
"TLR9",NA
"TMED6",NA
"TMEM114",NA
"TMEM125",NA
"TMEM190",NA
"TMEM212",NA
"TMEM236",NA
"TMEM253",NA
"TMEM52B",NA
"TMEM92",NA
"TMEM95",NA
"TMIGD1",NA
"TMIGD2",NA
"TMPRSS11A",NA
"TMPRSS11E",NA
"TMPRSS6",NA
"TNFRSF10A",NA
"TNFRSF10C",NA
"TNFRSF11A",NA
"TNFRSF17",NA
"TNFRSF18",NA
"TNFRSF8",NA
"TNFSF14",NA
"TNNC1",NA
"TPH2",NA
"TREM1",NA
"TREM2",NA
"TRIM29",NA
"TRIM31",NA
"TRIM50",NA
"TRIM55",NA
"TRIM60",NA
"TRIM63",NA
"TRIM64B",NA
"TRIM64C",NA
"TRPA1",NA
"TRPC5OS",NA
"TRPM1",NA
"TRPM5",NA
"TRPV6",NA
"TSGA10IP",NA
"TSGA13",NA
"TSPAN32",NA
"TSPYL6",NA
"TSSK1B",NA
"TTLL2",NA
"TUBB1",NA
"TWIST1",NA
"TXNDC2",NA
"TYR",NA
"TYROBP",NA
"UBD",NA
"UCMA",NA
"UCN2",NA
"UGT2B4",NA
"UPK1B",NA
"USP6",NA
"UTF1",NA
"UTS2",NA
"UTY",NA
"VAV1",NA
"VAX2",NA
"VDR",NA
"VENTX",NA
"VHLL",NA
"VN1R2",NA
"VPREB3",NA
"VSIG2",NA
"VSIG4",NA
"VSTM5",NA
"VWA5B1",NA
"WDR38",NA
"WDR64",NA
"WDR87",NA
"WNT2",NA
"WNT8A",NA
"WNT8B",NA
"XCL1",NA
"XCL2",NA
"XDH",NA
"XIRP2",NA
"YBX2",NA
"ZAR1",NA
"ZBP1",NA
"ZBTB32",NA
"ZDHHC19",NA
"ZFP42",NA
"ZG16B",NA
"ZNF257",NA
"ZNF80",NA
"ZNF831",NA
"ZNF98",NA
"ZP3",NA
"ZSCAN10",NA
"ZSCAN4",NA
"ZSCAN5B",NA
"ACCSL",NA
"ADAD1",NA
"ADGRF4",NA
"ADIG",NA
"ARSH",NA
"AWAT2",NA
"BARHL2",NA
"BPIFB1",NA
"BPIFB2",NA
"BSPH1",NA
"BSX",NA
"C16orf92",NA
"C1orf116",NA
"C1orf185",NA
"C22orf42",NA
"C3orf22",NA
"C5orf46",NA
"CACNG5",NA
"CALR3",NA
"CAMP",NA
"CAPNS2",NA
"CCDC140",NA
"CCL19",NA
"CCR4",NA
"CD207",NA
"CDC42BPG",NA
"CEACAM16",NA
"CHRNA9",NA
"CHRND",NA
"CIB3",NA
"CLDN3",NA
"CLEC2A",NA
"CLEC4F",NA
"CLPSL1",NA
"CPLX4",NA
"CPSF4L",NA
"CSF3",NA
"CXorf58",NA
"CYP11A1",NA
"CYP4F3",NA
"DGAT2L6",NA
"DIO3",NA
"DLX4",NA
"DNASE2B",NA
"DPPA2",NA
"DRGX",NA
"DUSP13",NA
"EIF1AY",NA
"EN1",NA
"ESPNL",NA
"ETV3L",NA
"FAM170A",NA
"FAM180B",NA
"FIGLA",NA
"FOXE3",NA
"GABRR1",NA
"GAGE1",NA
"GAST",NA
"GIP",NA
"GPR25",NA
"GRIN3B",NA
"HOXA11",NA
"HOXC10",NA
"HOXC5",NA
"HOXC6",NA
"HOXC9",NA
"IHH",NA
"IL17F",NA
"IL25",NA
"INHBC",NA
"IQCA1L",NA
"IQCF1",NA
"IRX4",NA
"IRX5",NA
"IRX6",NA
"ITIH1",NA
"KDM5D",NA
"KLK13",NA
"KLK5",NA
"KLK8",NA
"KLK9",NA
"KRT6A",NA
"KRT80",NA
"KRTAP5-10",NA
"KRTAP5-6",NA
"KRTAP5-8",NA
"KRTAP5-9",NA
"KRTAP8-1",NA
"KRTDAP",NA
"LAD1",NA
"LCN8",NA
"LCT",NA
"LINGO4",NA
"LMX1A",NA
"LSMEM2",NA
"LYPD2",NA
"MAGEB2",NA
"MAGEC1",NA
"MPC1L",NA
"MUSTN1",NA
"NAT8",NA
"NKX2-3",NA
"NPS",NA
"NT5C1B",NA
"OCSTAMP",NA
"OPN1SW",NA
"OR10V1",NA
"OR2AT4",NA
"OR2B11",NA
"OR2L2",NA
"OR4D1",NA
"OR4F15",NA
"OR52K2",NA
"OR56A5",NA
"OR5B21",NA
"OR6A2",NA
"OR8D4",NA
"OR8G1",NA
"OR8S1",NA
"OTOL1",NA
"P2RX3",NA
"PADI1",NA
"PAX2",NA
"PCK1",NA
"PLA2G4F",NA
"PLET1",NA
"POM121L2",NA
"PRAMEF1",NA
"PRDM7",NA
"PRKACG",NA
"PRR35",NA
"PRSS21",NA
"PRSS56",NA
"PSCA",NA
"PTX4",NA
"PVALB",NA
"RAB44",NA
"RBPJL",NA
"RFPL3",NA
"RHO",NA
"RXFP3",NA
"SBK3",NA
"SCT",NA
"SDR42E1",NA
"SERPINA3",NA
"SLAMF9",NA
"SLC18A3",NA
"SLC22A25",NA
"SLC25A47",NA
"SLC2A2",NA
"SLC2A7",NA
"SLC6A5",NA
"SMIM6",NA
"SOX14",NA
"SPACA3",NA
"SPATA19",NA
"SPATC1",NA
"SPEM1",NA
"SPINK2",NA
"TCF24",NA
"TGM4",NA
"THEGL",NA
"TLX2",NA
"TMEM174",NA
"TMEM72",NA
"TMEM82",NA
"TMSB4Y",NA
"TNFRSF13B",NA
"TREH",NA
"UBL4B",NA
"UCN3",NA
"UROC1",NA
"USP9Y",NA
"VIL1",NA
"WFDC10B",NA
"ZCCHC13",NA
"ZNF648",NA
"ZNF683",NA
"ZPBP",NA
"DDX3Y",NA
"NLGN4Y",NA
"ZFY",NA
"MCUB",NA
"TSPOAP1",NA
"MRE11",NA
"HPF1",NA
"SELENOO",NA
"CARMIL1",NA
"TBL1Y",NA
"WHRN",NA
"GRK3",NA
"PCNX1",NA
"PAK5",NA
"TWNK",NA
"STN1",NA
"NECTIN1",NA
"ERBIN",NA
"SELENOK",NA
"PTPA",NA
"MRM2",NA
"COQ8B",NA
"FNDC11",NA
"PCNX4",NA
"TMEM35A",NA
"SGO1",NA
"NECTIN2",NA
"AFDN",NA
"METTL26",NA
"SELENOS",NA
"RIDA",NA
"PATJ",NA
"LARGE1",NA
"BICDL1",NA
"PCNX2",NA
"CIDEB",NA
"THAP12",NA
"KNL1",NA
"KYAT3",NA
"SELENOI",NA
"CUZD1",NA
"ETFBKMT",NA
"EFL1",NA
"PGGHG",NA
"TIMM29",NA
"PRUNE1",NA
"LNPK",NA
"CNOT9",NA
"DCAF1",NA
"MIGA2",NA
"HIKESHI",NA
"KAT14",NA
"EEF1AKMT1",NA
"QTRT2",NA
"TMEM267",NA
"TOMM70",NA
"TMEM268",NA
"CARMIL2",NA
"MRNIP",NA
"SELENON",NA
"MAIP1",NA
"WDCP",NA
"COQ8A",NA
"NAXE",NA
"SGO2",NA
"NEPRO",NA
"BMT2",NA
"FMC1",NA
"INTS6L",NA
"SPACA9",NA
"BEX3",NA
"ATP23",NA
"TEPSIN",NA
"CENPX",NA
"GON7",NA
"ENSG00000170846",NA
"KYAT1",NA
"MRM3",NA
"MCRIP2",NA
"COPS9",NA
"GRK2",NA
"MFSD4B",NA
"MFSD4A",NA
"CENPS",NA
"NECTIN3",NA
"DHFR2",NA
"ERFE",NA
"RFLNA",NA
"SELENOW",NA
"MIGA1",NA
"SPACA6",NA
"SELENOF",NA
"UTP11",NA
"RFLNB",NA
"TCEAL9",NA
"CARMIL3",NA
"ENSG00000187186",NA
"ZNF724",NA
"FKBP1C",NA
"SELENOM",NA
"SELENOT",NA
"SPOUT1",NA
"STUM",NA
"DISP3",NA
"RACK1",NA
"SELENOH",NA
"NAXD",NA
"NDUFAF8",NA
"MCRIP1",NA
"FNDC10",NA
"AKAIN1",NA
"CCDC188",NA
"NPIPB2",NA
"SELENOP",NA
"ENSG00000267127",NA
"FDX2",NA
"RCC1L",NA
"ENSG00000275464",NA
"CCL3L3",NA
"ENSG00000280071",NA
"ENSG00000280433",NA
"MELTF",NA
"VEGFD",NA
"ARHGAP45",NA
"FGF16",NA
"PMCH",NA
"ZACN",NA
"PCNX3",NA
"ENSG00000258472",NA
"CCDC163",NA
"DEUP1",NA
"COX7B2",NA
"PPIAL4A",NA
"CFAP77",NA
"NLRP2B",NA
"ENSG00000275993",NA
"SAPCD1",NA
"ENSG00000283599",NA
"A3GALT2",NA
"ACTL7B",NA
"ACTRT1",NA
"ADORA2A",NA
"ALPI",NA
"ANGPT4",NA
"ARL14EPL",NA
"ATOH1",NA
"ATP6V1G3",NA
"B3GNT3",NA
"BARX1",NA
"C10orf53",NA
"C10orf62",NA
"C11orf86",NA
"C8B",NA
"CABS1",NA
"CALCA",NA
"CAPZA3",NA
"CCDC70",NA
"CCIN",NA
"CCKAR",NA
"CDCP2",NA
"CDRT15L2",NA
"CER1",NA
"CLDN34",NA
"CLEC18C",NA
"CLRN2",NA
"CRYBA2",NA
"CXCL11",NA
"CYP26C1",NA
"CYP4F12",NA
"DEFB108B",NA
"DEFB110",NA
"DEFB112",NA
"DEFB128",NA
"DEFB135",NA
"DEFB136",NA
"DEFB4A",NA
"DPRX",NA
"EVX1",NA
"EVX2",NA
"FABP12",NA
"FAM187B",NA
"FAM83C",NA
"FAM83G",NA
"FANCD2OS",NA
"FCN2",NA
"FERD3L",NA
"FGF19",NA
"FGF3",NA
"FOXA3",NA
"FOXD3",NA
"GBX1",NA
"GCNT3",NA
"GNAT3",NA
"GPHB5",NA
"GPR142",NA
"GPR148",NA
"GPR150",NA
"GPR152",NA
"GUCA2A",NA
"HAO2",NA
"HDGFL1",NA
"HELT",NA
"HOXA1",NA
"HOXA2",NA
"HOXB13",NA
"HOXB5",NA
"HS3ST6",NA
"HSD17B2",NA
"IL3",NA
"IL36G",NA
"IL37",NA
"INS",NA
"INSL4",NA
"ISL2",NA
"ITLN2",NA
"IZUMO1R",NA
"KLK1",NA
"KLK4",NA
"KRTAP10-10",NA
"KRTAP13-1",NA
"KRTAP16-1",NA
"KRTAP17-1",NA
"KRTAP19-8",NA
"KRTAP21-2",NA
"KRTAP29-1",NA
"KRTAP3-2",NA
"KRTAP7-1",NA
"LALBA",NA
"LBX1",NA
"LCN10",NA
"LCN9",NA
"LDHAL6B",NA
"LIPM",NA
"LMAN1L",NA
"LRRC14B",NA
"LRRC52",NA
"MAGEB17",NA
"MCIDAS",NA
"MOGAT2",NA
"MUC7",NA
"MYOD1",NA
"NOTO",NA
"NR0B2",NA
"OLIG3",NA
"OR10Q1",NA
"OR10W1",NA
"OR12D2",NA
"OR13C3",NA
"OR13C5",NA
"OR13C9",NA
"OR1A2",NA
"OR1E1",NA
"OR2A12",NA
"OR2AG1",NA
"OR2AK2",NA
"OR2C1",NA
"OR2J2",NA
"OR2K2",NA
"OR2L3",NA
"OR2L5",NA
"OR2M3",NA
"OR2M5",NA
"OR2T33",NA
"OR4D10",NA
"OR51A4",NA
"OR52M1",NA
"OR56A4",NA
"OR56B1",NA
"OR5AN1",NA
"OR5B12",NA
"OR5B2",NA
"OR6C70",NA
"OR8G5",NA
"ORM1",NA
"P2RX2",NA
"PDILT",NA
"PHOX2A",NA
"PLA2G12B",NA
"PLA2G2C",NA
"PRB3",NA
"PRDM13",NA
"PRPS1L1",NA
"PRSS41",NA
"PSMB11",NA
"REN",NA
"RIPPLY1",NA
"RNASE13",NA
"RNF148",NA
"RNF224",NA
"SAA4",NA
"SCGB3A2",NA
"SEMG1",NA
"SERPINA5",NA
"SLC10A6",NA
"SLC22A11",NA
"SLC22A8",NA
"SMIM9",NA
"SPACA4",NA
"SPATA8",NA
"SPDYC",NA
"TAAR8",NA
"TARM1",NA
"TAS2R1",NA
"TAS2R8",NA
"TBX4",NA
"TFF1",NA
"TGM6",NA
"TLX3",NA
"TMEM202",NA
"TMEM210",NA
"TMEM89",NA
"OR7A17",NA
"PRAMEF14",NA
"TAS2R9",NA
"OR10D3",NA
"KLF14",NA
"IGHG1",NA
"USP17L3",NA
"OR2AE1",NA
"GALNT4",NA
"OR9K2",NA
"TEX33",NA
"RXFP4",NA
"RAB7B",NA
"PPY",NA
"MS4A4E",NA
"SPATA32",NA
"OR8A1",NA
"NR5A1",NA
"IL9R",NA
"SNX15",NA
"GPR45",NA
"CCL24",NA
"OR2AG2",NA
"USP17L15",NA
"MEF2B",NA
"OR9A4",NA
"AVPR1B",NA
"TRIM42",NA
"MSLNL",NA
"ZAR1L",NA
"RNF223",NA
"GRXCR2",NA
"GJA9",NA
"OR52A1",NA
"C4B",NA
"NUTM2E",NA
"TAS2R16",NA
"TM4SF19",NA
"ZFP92",NA
"GPR101",NA
"LYPD8",NA
"ZNF705G",NA
"VN1R4",NA
"USP17L2",NA
"TAS2R7",NA
"NANOGP8",NA
"OR52N5",NA
"PRAMEF10",NA
"OR52N1",NA
"UNCX",NA
"TEN1",NA
"P2RY8",NA
"TUBA3C",NA
"ONECUT3",NA
"LENEP",NA
"OR6K6",NA
"TPPP2",NA
"OR1L8",NA
"APOC2",NA
"R3HDML",NA
"DUOXA2",NA
"IFNA5",NA
"GJA10",NA
"FAM90A26",NA
"BMP10",NA
"CDK3",NA
