"gene","cope"
"ZNF716",-0.00752481881704811
"KLHDC7A",-0.00751574141184804
"IFNK",-0.00735047278739942
"DEFB119",-0.00726769112173511
"AGXT",-0.00726768900202437
"GZMA",-0.00721072618467477
"BSX",-0.00711817011749448
"CATSPERD",-0.00708460289801832
"MYL2",-0.00707091418658281
"MUC22",-0.00707091376464912
"FFAR3",-0.00705918343047998
"TSHB",-0.00705918182601237
"UGT2A1",-0.00696333963926141
"IL22RA2",-0.00696333689439044
"FCGR3B",-0.00695756004467931
"SLC13A2",-0.0069335577173788
"CLDN20",-0.00691140787285606
"DYNAP",-0.0068688426724089
"SLC36A2",-0.00680660935937662
"KRT1",-0.00678738219809376
"SERPINB5",-0.00677833510634882
"PLSCR5",-0.00675867186062588
"ZNF679",-0.00675585501610857
"CRYGC",-0.00675585255402323
"ICOS",-0.00670726240704527
"CST7",-0.00670725849524176
"TREML1",-0.00666099242779757
"PSG11",-0.00666099185247499
"GLYATL3",-0.00659779100901827
"MUC15",-0.00645752236004734
"DSG1",-0.00644680572950183
"DDX53",-0.0064468048393235
"CEACAM20",-0.00644146401820945
"PATE1",-0.00643878605436558
"ENAM",-0.00643878590436132
"MC2R",-0.00643878516897068
"NLRP5",-0.00643878516897068
"PRR23B",-0.00643878516897068
"OR5A1",-0.00637014978284817
"MAGEC1",-0.00625675287236992
"GZMK",-0.00622562645534904
"FCRL1",-0.00622562369451724
"TNS4",-0.00616467173591278
"C1orf100",-0.00616467096463655
"SLC17A3",-0.00612106037391191
"DEFA4",-0.00610584030888878
"XIRP1",-0.00610584030888878
"IL25",-0.00602601137426266
"CPA1",-0.00599667551267822
"KLK3",-0.00596414885614515
"TNFRSF13B",-0.00594613408209028
"LRRC15",-0.00590470448857933
"OR10AD1",-0.00590470202221103
"SERPINB10",-0.00587535181870666
"TFEC",-0.00586888061261437
"ZNF676",-0.0058138902586696
"ASCL3",-0.00578300090547241
"KRT75",-0.00578300023504822
"CDSN",-0.00576620983980112
"HSD3B2",-0.00576620660254785
"RD3L",-0.00576620635352859
"RPTN",-0.00576620635352859
"TAS2R39",-0.00575903668247316
"ADGRE1",-0.00575425978601197
"ACSM2B",-0.00575425962252596
"PRSS37",-0.00575425962252596
"TCL1B",-0.00575425962252596
"MT1H",-0.00575425912880286
"TRGC1",-0.00571103943199168
"KLK12",-0.00565888523217721
"STUM",-0.00557720513509282
"CD1C",-0.00557154010639431
"CXCR1",-0.00551475245439829
"C3orf84",-0.00551157351941649
"OR10A5",-0.0055115721402843
"F9",-0.00551157110593584
"KLK11",-0.00540276202351057
"CEACAM7",-0.00538932078191987
"HOXB2",-0.00538932051636864
"OR2D3",-0.00538932051636864
"PRKACG",-0.00538047507839327
"CD1E",-0.00538039108522007
"TCF21",-0.00538039003090492
"C3AR1",-0.00526238647109287
"MAGEA12",-0.00525290209794903
"OR2V1",-0.00525290065329999
"OR4D1",-0.00524322672112753
"MMP1",-0.00519112777607196
"ESX1",-0.00519112722560569
"BOD1L2",-0.00503123081318151
"CCR3",-0.00499576343501668
"TRIM10",-0.00499576209036157
"IFNG",-0.00498540927006888
"WFDC6",-0.00498540927006888
"IL4",-0.00498540841172082
"AADACL2",-0.00498127891314717
"IL19",-0.00498127701201664
"MUC21",-0.00498127701201664
"SCN10A",-0.00498127663179079
"CCDC179",-0.0049095717570225
"TCL1A",-0.0049095717570225
"SMIM21",-0.00490957108469665
"MCIDAS",-0.00488539900522567
"GDF3",-0.00477118834933822
"MCEMP1",-0.00477118775240389
"SEMG2",-0.00470614274873711
"GZMH",-0.00469444985928246
"SSX3",-0.00458139814713623
"IGKC",-0.00455481313665022
"KRT16",-0.00454726729119595
"CXCL9",-0.00454349991709042
"PADI6",-0.00454349991709042
"TPD52L3",-0.00439854472042898
"OR4D11",-0.00439854428696466
"OR51V1",-0.00439854428696466
"GHSR",-0.00438944054488604
"CCER1",-0.00438943893400117
"SIGLEC1",-0.00436512080360764
"IBSP",-0.00434086986317239
"CEACAM4",-0.00431212995128811
"CLEC4E",-0.00431212962213892
"HOXC5",-0.00425795493453309
"IL18RAP",-0.00423678969265229
"PGLYRP4",-0.0042367881202116
"GSTA3",-0.00423678767094316
"MYH2",-0.00414591483941722
"FOXN1",-0.00408750938459852
"LEUTX",-0.0040688893170142
"LGALS16",-0.0040688876823996
"CDRT15",-0.00406888744888339
"SLC6A19",-0.00406888721536721
"UGT1A8",-0.00406383333652834
"NPFFR1",-0.00391528483258554
"OR4K5",-0.00391024278322637
"AADACL4",-0.00389404975232108
"ANTXRL",-0.00379979492226508
"MS4A13",-0.00379979492226508
"OR3A2",-0.00372517358101742
"PRKAG3",-0.0037112934771546
"KRT6C",-0.00371129322198536
"XKR3",-0.00370668632743008
"TRPC6",-0.00363361982672757
"ZG16B",-0.00362934592558343
"IL31",-0.00362934394081419
"OR4K14",-0.00362934314690741
"PATE4",-0.00362934288227193
"ODF4",-0.00353107775044624
"RNASE10",-0.00353107775044624
"IL21",-0.00351938523928581
"HOXC11",-0.00351938497064758
"HSD3B1",-0.00351647172765983
"MAGEA11",-0.00343016673458737
"IGHM",-0.00332637148849212
"LHX8",-0.00332637062657681
"DBX1",-0.00332637048292433
"IFNW1",-0.00331673537888675
"ADAM30",-0.00321940949269169
"OR51E1",-0.0031089568313434
"WFDC9",-0.00310895652496429
"DPPA5",-0.00310895637177476
"P2RY10",-0.00310895637177476
"DCSTAMP",-0.00310895621858526
"SULT1B1",-0.00308281749199268
"CLEC1B",-0.00299462330628818
"DIRC1",-0.00287594990849572
"VPREB1",-0.00287000111031818
"ARMS2",-0.0028591832877013
"ACTL7A",-0.00275237170510662
"TMIGD3",-0.00264764758437201
"OR13J1",-0.00262319794460408
"NXPE4",-0.00262319740353148
"STATH",-0.00262319704281661
