"gene","cope"
"ELF5",-0.0190486064370861
"TCF4",-0.0190172496984146
"TRIML2",-0.0189898569354905
"GZMB",-0.0189565981701945
"SERPINA5",-0.0188765642918978
"FOXE1",-0.0187722333646194
"LIG4",-0.018753389102299
"MC2R",-0.0187106288659436
"KRT7",-0.0186518153515823
"CD14",-0.0185323494960657
"CYP2B6",-0.0184658710335656
"OR2AK2",-0.0184385420668594
"TMEM184C",-0.0184295098084476
"WNT8B",-0.0182736355272535
"NCR1",-0.0182236300624334
"PF4V1",-0.0182023583351607
"ZNF517",-0.0181291545002003
"ART4",-0.0180049355339837
"ZNF189",-0.0179770448414859
"IL25",-0.0179765687093471
"MC5R",-0.0178255462856536
"LYPD8",-0.0177999888298461
"GDNF",-0.0177912128212121
"HNF1B",-0.0177311554779022
"UBE2D3",-0.0176397084354981
"RGMB",-0.0175855465460032
"MSMO1",-0.0175338064743844
"PPIA",-0.017459211948728
"ZNF117",-0.0174404982778552
"LMX1A",-0.0174276660334259
"TCL1A",-0.0174275071517015
"ADGRG4",-0.0173905228294881
"CDSN",-0.0173696619019138
"NPHS2",-0.0173690879500138
"ZNF12",-0.0173040585906813
"HOXB2",-0.0172784496736015
"LGALS16",-0.0172784477040697
"ZNF662",-0.0170995875424945
"HEATR9",-0.0170169280924303
"IFIT1B",-0.017009733174266
"GZMA",-0.0169970793397495
"ZMYM2",-0.0168749980896513
"CLEC6A",-0.0167584425869798
"SLC22A16",-0.0167525292503483
"OR5AU1",-0.0167312683707552
"SEC62",-0.0166782183685206
"CHORDC1",-0.0166308795431242
"NLRP10",-0.0166010636810173
"RFPL4B",-0.0166010602041403
"SPATC1",-0.0166010588133901
"GSPT1",-0.0165815039675019
"HBB",-0.0165449841278841
"PAX1",-0.0165236212687287
"CD53",-0.0163386412573563
"SLCO1B3",-0.0163380515025962
"MT1H",-0.016167521177682
"MRC1",-0.0159188844055338
"PATE1",-0.0158604994691187
"C1orf100",-0.0158050844094289
"ITLN1",-0.0157271704145597
"DCP1A",-0.0157231829350747
"CWH43",-0.0156193698857794
"GDF3",-0.0155434474839304
"UBXN7",-0.01550468435675
"MUC15",-0.0153547467198876
"VIP",-0.0153055503304826
"GPR87",-0.0152472281152398
"KERA",-0.0152472258702344
"TNFSF8",-0.0151762359317514
"SIKE1",-0.0151670552354423
"TCP1",-0.0151612954559487
"DRGX",-0.0150963812258738
"OOSP2",-0.0150208595813454
"CDX1",-0.0148914064138063
"CALCA",-0.0148838976061037
"RAB44",-0.0147768896288427
"IL17F",-0.0147768836196907
"ZG16B",-0.0147702301476868
"SLC13A2",-0.0146754829988144
"CLDN22",-0.0146754814510672
