"gene","cope"
"SPDEF",NA
"SPIB",NA
"SPPL2C",NA
"SPRR2G",NA
"SPX",NA
"SSMEM1",NA
"STMND1",NA
"SULT1C2",NA
"SYCP1",NA
"SYK",NA
"SYNDIG1L",NA
"TAL1",NA
"TAS2R42",NA
"TBC1D10C",NA
"TBX1",NA
"TBX3",NA
"TBX5",NA
"TDRD15",NA
"TDRD5",NA
"TERT",NA
"TEX37",NA
"TFAP2B",NA
"TFCP2L1",NA
"TFDP3",NA
"TGM3",NA
"THBD",NA
"THEM5",NA
"TIFAB",NA
"TIMD4",NA
"TKTL2",NA
"TLDC2",NA
"TLR7",NA
"TMEM190",NA
"TMEM212",NA
"TMEM236",NA
"TMEM249",NA
"TMEM253",NA
"TMEM52B",NA
"TMEM71",NA
"TMEM92",NA
"TMEM95",NA
"TMIGD1",NA
"TMPRSS11A",NA
"TMPRSS11B",NA
"TMPRSS11E",NA
"TMPRSS3",NA
"TNF",NA
"TNFAIP8L2",NA
"TNFRSF10A",NA
"TNFRSF10C",NA
"TNFRSF4",NA
"TNFRSF8",NA
"TNFSF18",NA
"TNFSF4",NA
"TNFSF9",NA
"TNNT2",NA
"TOMM20L",NA
"TPH2",NA
"TRHR",NA
"TRIM29",NA
"TRIM31",NA
"TRIM34",NA
"TRIM50",NA
"TRIM55",NA
"TRIM60",NA
"TRIM63",NA
"TRIM64B",NA
"TRIM64C",NA
"TRPA1",NA
"TRPC5OS",NA
"TRPM5",NA
"TSGA10IP",NA
"TSGA13",NA
"TSLP",NA
"TSPAN19",NA
"TSPAN32",NA
"TSPEAR",NA
"TSSK1B",NA
"TSSK4",NA
"TTC22",NA
"TUBB1",NA
"TYROBP",NA
"UAP1L1",NA
"UBD",NA
"UBQLNL",NA
"UCN2",NA
"UGT2B4",NA
"UPK1A",NA
"UPK1B",NA
"UPK3A",NA
"USH1G",NA
"UTF1",NA
"UTY",NA
"VDR",NA
"VENTX",NA
"VHLL",NA
"VIT",NA
"VN1R2",NA
"VPREB3",NA
"VRTN",NA
"VSIG2",NA
"VSIG4",NA
"VSTM5",NA
"VSX1",NA
"VWA2",NA
"VWA5B1",NA
"WDFY4",NA
"WDR38",NA
"WDR72",NA
"WEE2",NA
"WNT8B",NA
"XCL1",NA
"XCL2",NA
"XIRP2",NA
"XKRX",NA
"ZAR1",NA
"ZBP1",NA
"ZBTB32",NA
"ZFP42",NA
"ZMYND12",NA
"ZMYND15",NA
"ZNF257",NA
"ZNF492",NA
"ZNF541",NA
"ZNF750",NA
"ZNF80",NA
"ZNF831",NA
"ZNF98",NA
"ZNRF4",NA
"ZSCAN10",NA
"ZSCAN4",NA
"ZSCAN5B",NA
"ACCSL",NA
"ACER1",NA
"ADAD1",NA
"ADGRF4",NA
"ADIG",NA
